PlotID,Read Type,2024 Date Read,Data Entered,Picures Uploaded,Notes,accss_dl,Access Check,Overview,FWD,CWD,Pt-intercept,Regen,Poles,Overstory
EAFR-RX-01-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-02-P,pre-burn,7/24/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-03-P,pre-burn,7/23/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-04-P,pre-burn,8/20/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-05-P,pre-burn,8/24/24,Y,Y,south transect for CWD PlotID named EAFRE-RX-05; bumped 70m because of wasp nest incident,x,,x,xxxx,x,x,x,x,x
EAFR-RX-06-P,pre-burn,7/24/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-07-P,pre-burn,7/25/2024,Y,Y,point intercept uploaded 8/26,x,,x,xxxx,x,x,x,x,x
EAFR-RX-08-P,pre-burn,7/25/2024,Y,,abandoned after found another rebar,,,x,xx,x,,x,x,
EAFR-RX-09-P,pre-burn,8/24/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-10-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-11-P,pre-burn,7/22/24,Y,Y,use REAL,x,"why is there an -RX-11 REAL, --RX-11 and -RX-11 in CWD?",x,xxxx,x,x,x,x,x
EAFR-RX-12-P,pre-burn,7/25/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-13-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-14-P,pre-burn,7/23/24,Y,Y,"no regen, blank regen form uploaded 8/26; trail or indirect line in plot after establishment",x,,x,xxxx,x,x,x,x,x
EAFR-RX-15-P,pre-burn,8/23/24,Y,Y,"unidentified shrub in POI, see Kaila's email 8/26",x,,x,xxxx,x,x,x,x,x
EAFR-RX-16-P,pre-burn,8/19/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-17-P,pre-burn,7/24/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-18-P,pre-burn,8/22/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-19-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-20-P,pre-burn,7/23/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-21-P,pre-burn,8/20/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-22-P,pre-burn,8/21/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-23-P,pre-burn,8/21/24,Y,Y,"tag number missing, aah sorry!",x,,x,xxxx,x,x,x,x,x
EAFR-RX-24-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-25-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-26-P,pre-burn,8/20/24,Y,Y,,x,,x,xxxx,x,x,x,x,x
EAFR-RX-27-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-28-P,pre-burn,,,,,,,,,,,,,
EAFR-RX-29-P,pre-burn,8/25/24,Y,Y,"plot center 26m from a USGS plot, discovered overlap halfway through read and agreed with Bri to continue with read",x,,x,xxxx,x,x,x,x,x
EAFR-RX-30-P,pre-burn,,,,,,,,,,,,,