grove,grove_ha,Access,dist from road,dist from trail,approx_time,Ease of Access,Notes on Access,Notes on Camping,Nate,David,Tony,Nick
Dillonwood,603.3,xcountry,5,0.5,4,Difficult,,,,Access via Garfield grove then hitting unmaintained trail over ridge. We have waypoints.,Are you accessing upper or lower Dillonwood? If lower Dillonwood you'd to drive/hike in from N. Fork Tule R. on the old logging road. For upper Dillonwood I would access via Garfield (there are twol old trails (I have GPS tracks),
Eden Creek,330.6,xcountry,5,2,10,Difficult,long hike: Hockett>Evelyn Lake>Cahoon Meadow,,Likely an overnight trip.,"Easier to get to than Cahoon or Horse Creek. Generally nice to walk to and walk within, given that it has some recent burn history and isn't too steep (in much of it)","Not too difficult just a long hike. Best to come in via Hockett, then to Evelyn L., cross-country to Cahoon Meadow. There is an old trail through the grove that I have used",
Forgotten,6,xcountry,,1,4,Difficult,,,,,Near old trail to Devils Canyon,
Little Redwood Meadow,26.2,xcountry,11,0.5,6.4,Difficult,,,,,,
Pine Ridge,64,xcountry,2,1,4.8,Difficult,approach from Muir,,,See common for Skagway. Crews seems to have an easy time getting to Pine Ridge.,"I've accessed from Skagway, somewhat difficult but maybe easier now after the KNP?",
Skagway,59.8,xcountry,2,1,4.8,Difficult,approach from Muir,,I found this easier to get to than Pine Ridge ....,Seemed to be significantly more difficult to get to relative to the adjacent Pine Ridge,There is an old trail that can be easily followed from Muir once you find it. Much easier for us than Pine Ridge,
Suwanee,61.2,xcountry,2,1,4.8,Difficult,"from road, shuttle makes easier",,"I'd call it easy or moderate, from a turnout on the Generals Highway.",I'd reclassify as moderate. We have a helpful map that shows you should go around a topo feature instead of heading direct down the drainage,"Moderate, just follow ridge down from Generals Hwy.",
Atwell,645.4,road,,,0,Easy,,,,,,
Big Stump,92,road,,,0,Easy,,,,,,
Cedar Flat,32,trail,2.5,,1,Easy,,,,,Easy,
Clough Cave,4.6,road,,,0,Easy,,,,,,
General Grant,100.6,road,,,0,Easy,,,,,,
Giant Forest,1190.2,road,,,0,Easy,,,,,,
Lost,30.9,road,,,0,Easy,,,,,,
Muir,160.5,trail,2,,0.8,Easy,,,Agree with David: Easy access by good trail.,I would reclassify Easy access,I would say easy access,
Redwood Mountain,1272.1,road,,,0,Easy,,,,,,
Sequoia Creek,24.7,road,,,0,Easy,,,,,,
Big Springs,12.1,trail,5,,2,Moderate,long hike,,Long hike.,,,
East Fork,466.6,road,,,0,Moderate,private land access via Kaweah Han at E side of grove,,,Can be difficult travel within some parts of the grove that are dense with small trees/ water courses/slow walking travel,East portion of grove easiest to access via Kaweah Han (private so need permission) but there is a trail into this portion of the grove.,
Garfield,747.7,trail,5,,2,Moderate,slow trail,"Water can be a issue if a dry year, there are also only 2-3 locations that are good for camping that are near water. Lower portions of grove can be accessed via Lady Bug Trail if S. Fork R is low",,"if we a get large snow year and you go early season, there may be snow bridges to cross along the trail.","Water can be a issue if a dry year, there are also only 2-3 locations that are good for camping that are near water. Lower portions of grove can be accessed via Lady Bug Trail if S. Fork R is low",
Granite Creek,4.8,trail,12,,4.8,Moderate,,,,,,
New Oriole Lake,25.1,xcountry,?,0.6,#VALUE!,Moderate,how far up can we take the road?,,,"You can get up some, but doesn't matter much. It is easy walking up the road and likely not easier to crawl up with a 4wd.",Oriole L. Rd. is not driveable beyond Milk Ranch Jnct,
Oriole Lake,129.7,xcountry,?,1,#VALUE!,Moderate,how far up can we take the road?,,,"You can get up some, but doesn't matter much. It is easy walking up the road and likely not easier to crawl up with a 4wd.",Oriole L. Rd. is not driveable beyond Milk Ranch Jnct,
Redwood Creek,62.6,road,,,0,Moderate,upper part of the grove access via the old Camp Conifer Trail that starts near the gate,,,"This might be easy...but when we went to sample we had to bail. We tried to go straight up the drainage before vegetation had grown back so it was unsafe to continue. I would recommend using the abandoned trail from atwell and side hilling across to Redwood Creek grove. That route might be easy now, tbd.",Grove is one both N. and S. sides of road so some access would be off road. For the upper part of the grove access via the old Camp Conifer Trail that starts near the gate (not the Atwell Trail),
Redwood Meadow,190,trail,11,,4.4,Moderate,go around through MK,,,,,
South Fork,204.5,xcountry,3,0.7,4,Moderate,Take old trail from Cedar Flat towards Whiskey Log Camp; more difficult in high water years,,,,I would say easy/modrate access. V. Difficult access via Garfield! There is an old trail (I have a GPS track) from Cedar Flat Grove to Whiskey Log Camp that is just inside the west side of the grove. Be aware that access to the south side of the grove across the S. Fork can be difficult if water is high!,
Squirrel Creek,22.3,trail,?,,#VALUE!,Moderate,how far up can we take the road?,,,,Oriole L. Rd. is not driveable beyond Milk Ranch Jnct,
Board Camp,47.1,xcountry,2.5,1,5,Very Difficult,,"Last water enroute to BOCA is at the cedar flat grove (end of maintained trail); at grove, water in the main drainage (lower portion of grove).",,Water at the cedar flat grove (end of maintained trail). There is no water after that enroute to Board Camp. But there is water in the main drainages of Board camp grove. I would reclassify Very Difficult,Might be water in lower portion of grove in drainage?,
Cahoon,24.2,xcountry,5,1.1,6.4,Very Difficult,,,,I would reclassify Very Difficult,,
Castle Creek,211.2,xcountry,5,2,10,Very Difficult,"Approach from Atwell or Paradise creek trail and XC across slope. Less difficult to get to than Horse Creek, Eden Creek, Cahoon.",,"Yes, best from Atwell, and easier if you can find old trail.","approach from hiking paradise creek trail and XC across slope. Less difficult to get to than Horse Creek, Eden Creek, Cahoon.",,
Coffeepot Canyon,10.2,xcountry,5,2.3,11.2,Very Difficult,Case Mtn or Eden Creek,,,,"Best access might be from end of road in Case Mtn.,, but if working in Edan Cr, Grove that might be the best access (how I accessed the area once).",
Dennison,12.7,xcountry,,2.5,10,Very Difficult,devils cyn>fire lookout on old trail,,,,"Not too far from Devils Canyon, follow old trail to fire lookout point",
Devil's Canyon,17.7,xcountry,,2.1,8.4,Very Difficult,"access via old trail, poison oak",,Easier if you can find old trail.,Adrian has hiked here. Mentioned lots of poison oak.,"Nate had crew work up there, they accessed via old trail, I went once and may have a map of the trail",
Douglass,4.5,xcountry,?,1.7,#VALUE!,Very Difficult,"access via upper squirrel creek, steep",,Not sure of road condition.,,V. difficult at this point. Oriole L. Rd. gone beyond Milk Ranch Jct.. Grove on a very steep slope and access is only from one area in upper Squirrel Cr.,
Homers Nose,111.8,xcountry,2.5,1,5,Very Difficult,no water,,Agree with David: very difficult.,I would reclassify Very Difficult,Agree,
Horse Creek,60.2,xcountry,5,0.7,4.8,Very Difficult,,,,I would reclassify Very Difficult. Very steep in grove and dense.,,
Surprise,41.6,xcountry,2.5,2,9,Very Difficult,,,Easier if you can follow old trail.,,,
all,7110.7,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
