"","strt_grv","point_id"
"1","Atwell-NW_E-under5-Low-many","1"
"2","Atwell-SE_W-under5-Low-many","16"
"3","Atwell-SE_W-under5-Low-many","14"
"4","Atwell-SE_W-under5-Low-many","17"
"5","Atwell-SE_W-under5-Moderate-many","1"
"6","Atwell-SE_W-under5-Moderate-many","3"
"7","Cedar Flat-SE_W-under5-Unburned-none","19"
"8","Dillonwood-NW_E-under5-Low-one","3"
"9","Dillonwood-NW_E-under5-Low-one","2"
"10","Dillonwood-NW_E-under5-Moderate-one","2"
"11","Dillonwood-NW_E-under5-Unburned-none","4"
"12","Dillonwood-SE_W-under5-Low-one","16"
"13","Dillonwood-SE_W-under5-Low-one","53"
"14","Dillonwood-SE_W-under5-Low-one","35"
"15","Dillonwood-SE_W-under5-Low-one","4"
"16","Dillonwood-SE_W-under5-Low-one","55"
"17","Dillonwood-SE_W-under5-Low-one","50"
"18","Dillonwood-SE_W-under5-Low-one","45"
"19","Dillonwood-SE_W-under5-Low-one","54"
"20","Dillonwood-SE_W-under5-Low-one","32"
"21","Dillonwood-SE_W-under5-Low-one","39"
"22","Dillonwood-SE_W-under5-Moderate-one","5"
"23","Dillonwood-SE_W-under5-Moderate-one","8"
"24","Dillonwood-SE_W-under5-Moderate-one","16"
"25","Dillonwood-SE_W-under5-Moderate-one","7"
"26","Dillonwood-SE_W-under5-Unburned-none","23"
"27","Dillonwood-SE_W-under5-Unburned-none","32"
"28","Dillonwood-SE_W-under5-Unburned-none","29"
"29","Dillonwood-SE_W-under5-Unburned-none","22"
"30","Dillonwood-SE_W-under5-Unburned-none","54"
"31","Dillonwood-SE_W-under5-Unburned-none","67"
"32","Dillonwood-SE_W-under5-Unburned-none","57"
"33","Dillonwood-SE_W-under5-Unburned-none","43"
"34","East Fork-NW_E-over5-Low-one","6"
"35","East Fork-SE_W-over5-Low-one","3"
"36","Eden Creek-NW_E-under5-Low-many","11"
"37","Eden Creek-NW_E-under5-Unburned-none","16"
"38","Eden Creek-NW_E-under5-Unburned-none","17"
"39","Eden Creek-NW_E-under5-Unburned-none","6"
"40","Eden Creek-SE_W-under5-Low-many","27"
"41","Eden Creek-SE_W-under5-Low-many","28"
"42","Garfield-NW_E-under5-Low-many","33"
"43","Garfield-NW_E-under5-Low-many","29"
"44","Garfield-NW_E-under5-Low-one","12"
"45","Garfield-NW_E-under5-Low-one","22"
"46","Garfield-NW_E-under5-Low-one","35"
"47","Garfield-NW_E-under5-Low-one","34"
"48","Garfield-NW_E-under5-Low-one","30"
"49","Garfield-NW_E-under5-Low-one","43"
"50","Garfield-NW_E-under5-Low-one","44"
"51","Garfield-NW_E-under5-Unburned-none","23"
"52","Garfield-NW_E-under5-Unburned-none","43"
"53","Garfield-NW_E-under5-Unburned-none","38"
"54","Garfield-NW_E-under5-Unburned-none","41"
"55","Garfield-NW_E-under5-Unburned-none","39"
"56","Garfield-NW_E-under5-Unburned-none","35"
"57","Garfield-NW_E-under5-Unburned-none","26"
"58","Garfield-SE_W-under5-Low-many","38"
"59","Garfield-SE_W-under5-Low-many","35"
"60","Garfield-SE_W-under5-Low-many","40"
"61","Garfield-SE_W-under5-Low-many","34"
"62","Garfield-SE_W-under5-Low-many","30"
"63","Garfield-SE_W-under5-Low-one","73"
"64","Garfield-SE_W-under5-Low-one","69"
"65","Garfield-SE_W-under5-Low-one","79"
"66","Garfield-SE_W-under5-Low-one","72"
"67","Garfield-SE_W-under5-Low-one","80"
"68","Garfield-SE_W-under5-Low-one","75"
"69","Garfield-SE_W-under5-Low-one","61"
"70","Garfield-SE_W-under5-Low-one","78"
"71","Garfield-SE_W-under5-Low-one","64"
"72","Garfield-SE_W-under5-Moderate-many","8"
"73","Garfield-SE_W-under5-Moderate-one","21"
"74","Garfield-SE_W-under5-Moderate-one","20"
"75","Garfield-SE_W-under5-Unburned-none","100"
"76","Garfield-SE_W-under5-Unburned-none","103"
"77","Garfield-SE_W-under5-Unburned-none","91"
"78","Garfield-SE_W-under5-Unburned-none","88"
"79","Garfield-SE_W-under5-Unburned-none","92"
"80","Giant Forest-NW_E-over5-Unburned-none","31"
"81","Giant Forest-NW_E-under5-Low-many","47"
"82","Giant Forest-NW_E-under5-Low-one","56"
"83","Giant Forest-NW_E-under5-Low-one","59"
"84","Giant Forest-NW_E-under5-Low-one","51"
"85","Giant Forest-NW_E-under5-Moderate-one","5"
"86","Giant Forest-NW_E-under5-Unburned-none","48"
"87","Giant Forest-NW_E-under5-Unburned-none","56"
"88","Giant Forest-NW_E-under5-Unburned-none","54"
"89","Giant Forest-SE_W-under5-Low-many","102"
"90","Giant Forest-SE_W-under5-Low-many","99"
"91","Giant Forest-SE_W-under5-Low-many","76"
"92","Giant Forest-SE_W-under5-Low-many","101"
"93","Giant Forest-SE_W-under5-Low-many","50"
"94","Giant Forest-SE_W-under5-Low-many","91"
"95","Giant Forest-SE_W-under5-Low-one","90"
"96","Giant Forest-SE_W-under5-Low-one","83"
"97","Giant Forest-SE_W-under5-Unburned-none","118"
"98","Giant Forest-SE_W-under5-Unburned-none","113"
"99","Giant Forest-SE_W-under5-Unburned-none","107"
"100","Giant Forest-SE_W-under5-Unburned-none","109"
"101","Little Redwood Meadow-SE_W-under5-Unburned-none","121"
"102","Little Redwood Meadow-SE_W-under5-Unburned-none","123"
"103","Muir-NW_E-under5-Low-many","57"
"104","Muir-NW_E-under5-Low-one","62"
"105","Muir-NW_E-under5-Unburned-none","58"
"106","Muir-SE_W-under5-Low-many","104"
"107","Muir-SE_W-under5-Low-one","112"
"108","Muir-SE_W-under5-Low-one","106"
"109","Muir-SE_W-under5-Moderate-one","25"
"110","Muir-SE_W-under5-Unburned-none","125"
"111","Muir-SE_W-under5-Unburned-none","128"
"112","Oriole Lake-SE_W-under5-Low-one","121"
"113","Oriole Lake-SE_W-under5-Low-one","120"
"114","Oriole Lake-SE_W-under5-Moderate-one","27"
"115","Oriole Lake-SE_W-under5-Unburned-none","132"
"116","Oriole Lake-SE_W-under5-Unburned-none","131"
"117","Pine Ridge-NW_E-under5-Low-one","69"
"118","Pine Ridge-SE_W-under5-Low-one","134"
"119","Redwood Creek-NW_E-under5-Low-many","58"
"120","Redwood Creek-SE_W-under5-Low-many","107"
"121","Redwood Creek-SE_W-under5-Low-many","112"
"122","Redwood Meadow-NW_E-over5-Low-one","12"
"123","Redwood Meadow-SE_W-under5-Low-one","147"
"124","Redwood Meadow-SE_W-under5-Moderate-one","29"
"125","Redwood Meadow-SE_W-under5-Unburned-none","137"
"126","Redwood Mountain-NW_E-under5-High-one","4"
"127","Redwood Mountain-NW_E-under5-Low-many","67"
"128","Redwood Mountain-NW_E-under5-Low-many","76"
"129","Redwood Mountain-NW_E-under5-Moderate-many","8"
"130","Redwood Mountain-NW_E-under5-Moderate-many","5"
"131","Redwood Mountain-NW_E-under5-Moderate-many","11"
"132","Redwood Mountain-NW_E-under5-Unburned-none","69"
"133","Redwood Mountain-NW_E-under5-Unburned-none","73"
"134","Redwood Mountain-NW_E-under5-Unburned-none","71"
"135","Redwood Mountain-SE_W-under5-Low-many","164"
"136","Redwood Mountain-SE_W-under5-Low-many","137"
"137","Redwood Mountain-SE_W-under5-Low-many","125"
"138","Redwood Mountain-SE_W-under5-Low-many","127"
"139","Redwood Mountain-SE_W-under5-Low-many","148"
"140","Redwood Mountain-SE_W-under5-Low-many","142"
"141","Redwood Mountain-SE_W-under5-Low-one","155"
"142","Redwood Mountain-SE_W-under5-Moderate-many","22"
"143","Redwood Mountain-SE_W-under5-Moderate-many","32"
"144","Redwood Mountain-SE_W-under5-Moderate-many","11"
"145","Redwood Mountain-SE_W-under5-Moderate-many","12"
"146","Redwood Mountain-SE_W-under5-Moderate-many","28"
"147","Redwood Mountain-SE_W-under5-Unburned-none","140"
"148","Redwood Mountain-SE_W-under5-Unburned-none","165"
"149","Redwood Mountain-SE_W-under5-Unburned-none","167"
"150","Redwood Mountain-SE_W-under5-Unburned-none","187"
"151","Redwood Mountain-SE_W-under5-Unburned-none","143"
"152","Skagway-SE_W-under5-Low-many","178"
"153","Skagway-SE_W-under5-Low-one","163"
"154","South Fork-NW_E-under5-Low-one","103"
"155","South Fork-NW_E-under5-Low-one","88"
"156","South Fork-NW_E-under5-Low-one","80"
"157","South Fork-NW_E-under5-Low-one","97"
"158","South Fork-NW_E-under5-Low-one","95"
"159","South Fork-NW_E-under5-Low-one","76"
"160","South Fork-NW_E-under5-Moderate-one","8"
"161","South Fork-SE_W-under5-Low-one","168"
"162","South Fork-SE_W-under5-Low-one","167"
"163","South Fork-SE_W-under5-Moderate-one","32"
"164","Suwanee-NW_E-under5-Moderate-many","16"
"165","Atwell-NW_E-under5-Moderate-many","4"
"166","Cedar Flat-SE_W-under5-Unburned-none","189"
"167","Dillonwood-NW_E-under5-Low-one","64"
"168","Dillonwood-NW_E-under5-Low-one","62"
"169","Garfield-NW_E-under5-Moderate-one","49"
"170","General Grant-NW_E-over5-Unburned-none","480"
"171","General Grant-SE_W-over5-High-one","2"
"172","Giant Forest-NW_E-under5-High-one","47"
"173","Giant Forest-SE_W-under5-Moderate-many","126"
"174","Giant Forest-SE_W-under5-Moderate-many","122"
"175","Granite Creek-NW_E-under5-Low-one","941"
"176","New Oriole Lake-NW_E-under5-Moderate-one","112"
"177","New Oriole Lake-SE_W-under5-Moderate-one","385"
"178","Oriole Lake-NW_E-under5-Low-one","1060"
"179","Pine Ridge-SE_W-under5-Moderate-one","420"
"180","Redwood Creek-SE_W-under5-Moderate-many","134"
"181","Skagway-SE_W-under5-Unburned-none","2933"
"182","Squirrel Creek-SE_W-under5-Moderate-one","539"
"183","Suwanee-NW_E-under5-Low-many","1104"
"184","Suwanee-SE_W-under5-Low-many","2816"
"185","Big Springs-NW_E-under5-Moderate-one","10"
"186","Cedar Flat-SE_W-under5-Low-one","95"
"187","East Fork-SE_W-under5-Low-many","280"
"188","Eden Creek-NW_E-under5-Moderate-many","420"
"189","Eden Creek-NW_E-under5-Moderate-one","531"
"190","Garfield-SE_W-under5-Moderate-one","784"
"191","Oriole Lake-NW_E-under5-Unburned-none","1140"
"192","Redwood Meadow-SE_W-under5-Low-many","1255"
"193","Redwood Meadow-SE_W-under5-Low-many","1239"
"194","South Fork-SE_W-under5-Low-one","1454"
"195","South Fork-SE_W-under5-Low-one","1622"
"196","South Fork-SE_W-under5-Low-one","1401"
"197","South Fork-SE_W-under5-Moderate-one","1772"
